,Date,AAPL_close_stock,TSLA_close_stock,AAPL_high_stock,TSLA_high_stock,AAPL_low_stock,TSLA_low_stock,AAPL_open_stock,TSLA_open_stock,AAPL_volume_stock,TSLA_volume_stock
0,2024-07-15,233.3088836669922,252.63999938964844,236.12571210202407,265.6000061035156,232.00498402552307,251.72999572753906,235.37920328245679,255.97000122070312,62631300,146912900
1,2024-07-16,233.7269287109375,256.55999755859375,235.17017597600105,258.6199951171875,231.24851410299036,245.8000030517578,233.90608352734432,255.30999755859375,43234300,126332500
2,2024-07-17,227.81459045410156,248.5,230.38258262455565,258.4700012207031,225.58501197125685,246.17999267578125,228.38192926123955,252.72999572753906,57345900,115584800
3,2024-07-18,223.13644409179688,249.22999572753906,229.3673137711516,257.1400146484375,221.2353466054131,247.1999969482422,229.20805491946456,251.08999633789062,66034600,110869000
4,2024-07-19,223.26585388183594,239.1999969482422,225.74426861436035,249.44000244140625,222.24064965794977,236.8300018310547,223.77348959602472,247.7899932861328,49151500,87403900
5,2024-07-22,222.91749572753906,251.50999450683594,226.7197061195605,253.2100067138672,222.0515351611177,243.75,225.95328613844396,244.2100067138672,48201800,101225400
6,2024-07-23,223.9626007080078,246.3800048828125,225.88362469345716,255.75999450683594,221.6434447483752,245.6300048828125,223.32558043665784,253.60000610351562,39960300,111928200
7,2024-07-24,217.522705078125,215.99000549316406,223.75357494115906,225.99000549316406,216.1192800710717,214.7100067138672,222.9572958470105,225.4199981689453,61777600,167942900
8,2024-07-25,216.4776153564453,220.25,219.8219755631398,226.0,213.62096453779796,216.22999572753906,217.91089956980477,216.8000030517578,51391200,100636500
9,2024-07-26,216.94541931152344,219.8000030517578,218.46829606182757,222.27999877929688,215.0044842643322,215.3300018310547,217.6819649471348,221.19000244140625,41601300,94604100
10,2024-07-29,217.22412109375,232.10000610351562,218.27918447457574,234.27000427246094,214.74570631572197,224.6999969482422,215.95008057489312,224.89999389648438,36311800,129201800
11,2024-07-30,217.781494140625,222.6199951171875,219.30437081128844,232.41000366210938,215.1139615804843,220.0,218.1696780922106,232.25,41643800,100560300
12,2024-07-31,221.04623413085938,232.07000732421875,222.77814001369308,234.67999267578125,219.60298682237814,226.7899932861328,220.40921389598267,227.89999389648438,50036300,67497000
13,2024-08-01,217.3435516357422,216.86000061035156,223.43505864730554,231.8699951171875,216.0097928775357,214.3300018310547,223.3255700813178,227.69000244140625,62501000,83861900
14,2024-08-02,218.83657836914062,207.6699981689453,224.54986481713928,216.1300048828125,216.69659243938975,205.77999877929688,218.12987665236415,214.8800048828125,105568600,82880100
15,2024-08-05,208.29586791992188,198.8800048828125,212.506173331003,203.8800048828125,195.0876345333798,182.0,198.16324716744046,185.22000122070312,119548600,100308800
16,2024-08-06,206.26535034179688,200.63999938964844,209.01251239840335,202.89999389648438,200.13403637997632,192.6699981689453,204.34434168651262,200.75,69660500,73783900
17,2024-08-07,208.8433074951172,191.75999450683594,212.64551772150753,203.49000549316406,205.42926604632788,191.47999572753906,205.93688655864335,200.77000427246094,63516400,71159800
18,2024-08-08,212.3170623779297,198.83999633789062,213.2029189157903,200.6999969482422,207.85792055043288,192.0399932861328,212.1179963940502,195.6999969482422,47161100,65033900
19,2024-08-09,215.23342895507812,200.0,215.77090862412464,200.8800048828125,210.98330114399806,195.11000061035156,211.11270086651854,197.0500030517578,42201600,58648300
20,2024-08-12,216.76803588867188,197.49000549316406,218.7410960979999,199.25999450683594,214.8448035806853,194.6699981689453,215.31315848368175,199.02000427246094,38028100,64044900
21,2024-08-13,220.49493408203125,207.8300018310547,221.11275746457662,208.49000549316406,218.2428407360094,197.05999755859375,218.2428407360094,198.47000122070312,44155300,76247400
22,2024-08-14,220.943359375,201.3800048828125,222.24876826808693,208.44000244140625,218.93043078284688,198.75,219.7973936824548,207.38999938964844,41960600,70250000
23,2024-08-15,223.93284606933594,214.13999938964844,224.56064415441705,215.8800048828125,221.97970491871703,204.82000732421875,223.81327127421198,205.02000427246094,46414000,89848500
24,2024-08-16,225.25819396972656,216.1199951171875,226.03546056539557,219.8000030517578,222.86659157853387,210.8000030517578,223.1356500786779,211.14999389648438,44340200,88765100
25,2024-08-19,225.0987548828125,222.72000122070312,225.19841068626937,222.97999572753906,222.25873174304007,214.08999633789062,224.92935218120843,217.07000732421875,40687800,76435200
26,2024-08-20,225.71656799316406,221.10000610351562,226.3742597731608,228.22000122070312,224.66028342820331,219.55999755859375,224.9791698204466,224.8800048828125,30299000,74001200
27,2024-08-21,225.60696411132812,223.27000427246094,227.18143154067607,224.66000366210938,224.26170199000447,218.86000061035156,225.7265541171402,222.6699981689453,34765500,70146000
28,2024-08-22,223.74351501464844,210.66000366210938,227.5401669123529,224.8000030517578,223.11571691317775,210.32000732421875,226.9920904114928,223.82000732421875,43695300,79514500
29,2024-08-23,226.04541015625,220.32000732421875,227.42058109078098,221.47999572753906,223.544207780358,214.2100067138672,224.86955081625499,214.4600067138672,38677300,81525200
