Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.62708447362316,72.68128119000231,71.37321069958021,72.62083435058594,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.84712526182395,72.67645428247283,71.68996492576686,71.91482543945312,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.03471685901826,72.52654087038833,70.78325591626742,72.48785400390625,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.49752942348555,72.75382346407903,71.92691473047077,72.14694213867188,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.8495328881936,73.60974457641883,71.8495328881936,73.30751037597656,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.28675624192712,75.058058615668,74.0353026659935,74.86463165283203,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.09916946286842,75.59967116208304,74.53096758540974,75.03388214111328,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.35062150930146,76.66352519200935,75.23214067732687,76.63692474365234,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.57406362681236,76.78441745974806,75.47876712733354,75.6020736694336,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.40138244543428,76.28390474886808,74.84526714361999,75.27806854248047,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.82209877195635,76.33227394816954,75.45941772509225,76.2210464477539,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.4700857814728,77.06730085653118,76.16301849026416,77.06488800048828,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.69252476374683,77.13499233659138,76.40479724710379,76.54261779785156,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.02862363912672,77.3695447452734,76.72155630946642,76.81585693359375,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.86903492947071,77.26556233295065,76.32017294133449,77.18577575683594,104472000,0.0,0.0
